freqtrade backtesting -c config-gateio-static.json -s StratIchimoku005 --timerange=20220101-20221014

2022-10-14 18:39:52,150 - freqtrade.optimize.backtesting - INFO - Reusing result of previous backtest for StratIchimoku005
Result for strategy StratIchimoku005
=================================================================== BACKTESTING REPORT ==================================================================
|                Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |       Avg Duration |   Win  Draw  Loss  Win% |
|---------------------+-----------+----------------+----------------+-------------------+----------------+--------------------+-------------------------|
|     FITFI/USDT:USDT |         8 |           6.21 |          49.64 |            29.951 |           3.00 |           13:43:00 |     5     0     3  62.5 |
|      USTC/USDT:USDT |         2 |          23.98 |          47.95 |            29.494 |           2.95 |   2 days, 21:15:00 |     2     0     0   100 |
|      CELO/USDT:USDT |         2 |          25.02 |          50.04 |            24.474 |           2.45 |  11 days, 11:38:00 |     2     0     0   100 |
|       PRQ/USDT:USDT |         1 |          25.70 |          25.70 |            16.074 |           1.61 |  25 days, 14:15:00 |     1     0     0   100 |
|      GARI/USDT:USDT |         1 |          25.06 |          25.06 |            15.822 |           1.58 |  20 days, 13:30:00 |     1     0     0   100 |
|      AIOZ/USDT:USDT |         1 |          24.65 |          24.65 |            15.757 |           1.58 |  61 days, 20:00:00 |     1     0     0   100 |
|      ETHW/USDT:USDT |         1 |          24.07 |          24.07 |            15.111 |           1.51 |   8 days, 22:00:00 |     1     0     0   100 |
|      LUNC/USDT:USDT |         1 |          24.76 |          24.76 |            15.072 |           1.51 |     1 day, 0:00:00 |     1     0     0   100 |
|       GAL/USDT:USDT |         1 |          24.18 |          24.18 |            14.874 |           1.49 |   12 days, 9:15:00 |     1     0     0   100 |
|       DAR/USDT:USDT |         3 |           8.27 |          24.82 |            13.892 |           1.39 |    3 days, 0:45:00 |     2     0     1  66.7 |
|       RON/USDT:USDT |         1 |          25.32 |          25.32 |            13.537 |           1.35 |  10 days, 14:15:00 |     1     0     0   100 |
|       CTK/USDT:USDT |         1 |          25.56 |          25.56 |            13.385 |           1.34 |  20 days, 16:45:00 |     1     0     0   100 |
|       MCB/USDT:USDT |         1 |          25.36 |          25.36 |            13.377 |           1.34 |   25 days, 0:30:00 |     1     0     0   100 |
|      API3/USDT:USDT |         1 |          25.05 |          25.05 |            13.314 |           1.33 |  34 days, 14:15:00 |     1     0     0   100 |
|        GT/USDT:USDT |         1 |          25.34 |          25.34 |            13.307 |           1.33 |  41 days, 22:00:00 |     1     0     0   100 |
|      TOMO/USDT:USDT |         1 |          25.28 |          25.28 |            13.225 |           1.32 |   9 days, 21:15:00 |     1     0     0   100 |
|       HNT/USDT:USDT |         1 |          25.62 |          25.62 |            13.177 |           1.32 |  20 days, 20:00:00 |     1     0     0   100 |
|      KLAY/USDT:USDT |         1 |          25.20 |          25.20 |            13.117 |           1.31 |   24 days, 3:45:00 |     1     0     0   100 |
|      EDEN/USDT:USDT |         3 |           8.47 |          25.42 |            13.019 |           1.30 |   5 days, 20:45:00 |     2     0     1  66.7 |
|      UNFI/USDT:USDT |         1 |          25.95 |          25.95 |            12.972 |           1.30 |    8 days, 8:45:00 |     1     0     0   100 |
|      ASTR/USDT:USDT |         1 |          25.05 |          25.05 |            12.888 |           1.29 |   11 days, 8:00:00 |     1     0     0   100 |
|      GLMR/USDT:USDT |         1 |          23.64 |          23.64 |            12.778 |           1.28 |    8 days, 8:00:00 |     1     0     0   100 |
|      PROM/USDT:USDT |         1 |          25.80 |          25.80 |            12.760 |           1.28 |   30 days, 1:00:00 |     1     0     0   100 |
|    PUNDIX/USDT:USDT |         1 |          25.10 |          25.10 |            12.635 |           1.26 |    9 days, 1:15:00 |     1     0     0   100 |
|      ALCX/USDT:USDT |         1 |          25.26 |          25.26 |            12.602 |           1.26 |   14 days, 3:00:00 |     1     0     0   100 |
|     PEARL/USDT:USDT |         1 |          25.38 |          25.38 |            12.562 |           1.26 |   13 days, 6:00:00 |     1     0     0   100 |
|       ZRX/USDT:USDT |         1 |          24.52 |          24.52 |            12.554 |           1.26 |   18 days, 6:30:00 |     1     0     0   100 |
|     JASMY/USDT:USDT |         1 |          25.36 |          25.36 |            12.546 |           1.25 |  12 days, 14:00:00 |     1     0     0   100 |
|       ICX/USDT:USDT |         1 |          25.39 |          25.39 |            12.541 |           1.25 |    8 days, 8:00:00 |     1     0     0   100 |
|      HIGH/USDT:USDT |         1 |          25.21 |          25.21 |            12.538 |           1.25 |   7 days, 12:30:00 |     1     0     0   100 |
|       ANT/USDT:USDT |         1 |          25.35 |          25.35 |            12.515 |           1.25 |  11 days, 21:00:00 |     1     0     0   100 |
|      MINA/USDT:USDT |         1 |          25.37 |          25.37 |            12.510 |           1.25 |  12 days, 21:45:00 |     1     0     0   100 |
|      MANA/USDT:USDT |         1 |          25.31 |          25.31 |            12.488 |           1.25 |  12 days, 12:15:00 |     1     0     0   100 |
|       ZKS/USDT:USDT |         1 |          25.34 |          25.34 |            12.486 |           1.25 |  11 days, 17:00:00 |     1     0     0   100 |
|       XCN/USDT:USDT |         1 |          20.30 |          20.30 |            12.395 |           1.24 |   10 days, 0:00:00 |     1     0     0   100 |
|       ZEC/USDT:USDT |         1 |          25.38 |          25.38 |            12.392 |           1.24 |  12 days, 15:15:00 |     1     0     0   100 |
|       CRU/USDT:USDT |         1 |          25.33 |          25.33 |            12.365 |           1.24 |   11 days, 3:30:00 |     1     0     0   100 |
|       C98/USDT:USDT |         1 |          25.37 |          25.37 |            12.320 |           1.23 |  12 days, 21:00:00 |     1     0     0   100 |
|       BAL/USDT:USDT |         1 |          25.05 |          25.05 |            12.253 |           1.23 |   2 days, 13:45:00 |     1     0     0   100 |
|    PEOPLE/USDT:USDT |         1 |          25.02 |          25.02 |            12.231 |           1.22 |    8 days, 7:15:00 |     1     0     0   100 |
|      LOKA/USDT:USDT |         1 |          25.27 |          25.27 |            12.200 |           1.22 |  17 days, 10:00:00 |     1     0     0   100 |
|      IOTA/USDT:USDT |         1 |          24.37 |          24.37 |            12.196 |           1.22 |    8 days, 8:30:00 |     1     0     0   100 |
|       ACH/USDT:USDT |         1 |          25.17 |          25.17 |            12.076 |           1.21 |   6 days, 19:45:00 |     1     0     0   100 |
|      REEF/USDT:USDT |         1 |          24.46 |          24.46 |            11.867 |           1.19 |  12 days, 15:15:00 |     1     0     0   100 |
|        HT/USDT:USDT |         1 |          26.02 |          26.02 |            11.563 |           1.16 | 122 days, 20:30:00 |     1     0     0   100 |
|       SFP/USDT:USDT |         1 |          25.18 |          25.18 |            11.154 |           1.12 |    7 days, 1:00:00 |     1     0     0   100 |
|       LIT/USDT:USDT |         1 |          25.22 |          25.22 |            11.136 |           1.11 |   7 days, 20:00:00 |     1     0     0   100 |
|      KEEP/USDT:USDT |         1 |          25.12 |          25.12 |            11.051 |           1.11 |   4 days, 13:30:00 |     1     0     0   100 |
|      CAKE/USDT:USDT |         1 |          24.69 |          24.69 |            11.015 |           1.10 |   4 days, 13:30:00 |     1     0     0   100 |
|       APE/USDT:USDT |         1 |          24.37 |          24.37 |            10.193 |           1.02 |  24 days, 16:30:00 |     1     0     0   100 |
|       SLP/USDT:USDT |         1 |          20.48 |          20.48 |            10.136 |           1.01 |  12 days, 12:30:00 |     1     0     0   100 |
|       ETH/USDT:USDT |         1 |          25.13 |          25.13 |             8.193 |           0.82 |   4 days, 23:00:00 |     1     0     0   100 |
|      SHIB/USDT:USDT |         1 |          25.13 |          25.13 |             4.814 |           0.48 |   4 days, 13:45:00 |     1     0     0   100 |
|      CSPR/USDT:USDT |         1 |          25.20 |          25.20 |             2.318 |           0.23 |    7 days, 2:00:00 |     1     0     0   100 |
|       KNC/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      OOKI/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      MNGO/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       BIT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|        SC/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       RVN/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       BEL/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       INJ/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       CEL/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      COTI/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      MOVR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       BZZ/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       UNI/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      AAVE/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       LTC/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      RAMP/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      DENT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      QRDO/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      IRIS/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       RAY/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     ALPHA/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       BNB/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      CERE/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     ATLAS/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       OKB/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       OGN/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       TLM/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       DOT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       BTM/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       MER/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      ANKR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       TRX/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      YFII/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       MTL/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
| MBABYDOGE/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      SAND/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       SUN/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       SRM/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       BAT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       SOL/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       AXS/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|    MAKITA/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       BNT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       MTA/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       RSR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       MKR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      PERP/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      COMP/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       UST/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       WSB/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      LINK/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       CFX/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       CHR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      MBOX/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      DYDX/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       TRB/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      LUNA/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     OCEAN/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     TFUEL/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       HOT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       XLM/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       FTM/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       LPT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      ALGO/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       SOS/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       BSV/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|    BADGER/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     ALICE/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       XEM/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      DEFI/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       ICP/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      FLUX/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      BAKE/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       LRC/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       CVC/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       CRO/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     AUDIO/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     FRONT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       XMR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       ZIL/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      CTSI/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       YGG/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       XCH/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       VET/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|      BICO/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|        AR/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       CLV/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       IMX/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     SPELL/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|     SUSHI/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       FTT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
|       ALT/USDT:USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |               0:00 |     0     0     0     0 |
